"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @JackTreseler","@JackTreseler follows"
jerrymahers,"Jerry Maher","Lazio, Italy","185,965",24,"27 Jul 2008 16:49:04","5,854","10 Aug 2016 16:09:13","CEO @SawtBeirut , a Journalist based in Europe & a father of 1 under 7! - https://t.co/JJsvKvUuir #جيري_ماهر",http://www.sawtbeirut.se,30.5,2.5,0,87.9,,
Lara,"Lara Setrakian","New York/Hong Kong","1,515,515","3,919","21 Feb 2009 12:58:45","8,481","10 Aug 2016 01:28:14","Foreign Correspondent. WEF YGL. Co-Founder and CEO of @NewsDeeply (makers of @SyriaDeeply, @WaterDeeply, @ArcticDeeply, @RefugeesDeeply).",,0.5,99,0,86.4,,
Iam360WISE,"360WISE ®","Miami Florida","114,559","8,089","16 Apr 2011 01:02:42","682,224","15 Aug 2016 01:40:03","Robert Alexander | ARTIST http://itun.es/us/T96Zdb Founder | CEO of @360WiseMedia Powered with @MCHAMMER 1-844-360-WISE (9473) Co-Founder & #CMO of @Revohloo",http://360wise.com,45.7,51.8,2,86.3,,
600Breezy,L'aGangMember,"600,ChiRaq","61,006","1,325","31 Jan 2012 22:22:58","50,351","15 Aug 2016 15:55:52","600cartel Ceo #LaGang #Stevedrive #DthangBlock #Baldyworld #Shaqcity #LilBoo #StelloTheGreat Bookings: steve@mtabooking.com Features: 600breezy@gmail.com",,10.1,72.7,7.6,86.3,,
NetworksManager,"Bruce Porter, Jr.","Washington DC","54,002","50,298","19 Feb 2010 14:51:42","76,324","16 Aug 2016 00:46:07","American #Entrepreneur, athlete, globetrotter living in #Washington #DC @EmmeGirls COO @GlobalBoost CEO. #Blockchain $BSTY #Gold #ModelBuzz #veterans",http://tinyurl.com/jco33v7,5.5,87.5,5,86,,
cenkuygur,"Cenk Uygur","Los Angeles","234,856",432,"05 Dec 2011 18:27:28","17,854","13 Aug 2016 03:15:59","Host of @TheYoungTurks the largest online news show in the world. Founder & CEO of @TYTnetwork",http://tytnetwork.com,28,41,0,85.9,,
hafizhamidun,"Hafiz Hamidun",Malaysia,"440,444","1,117","07 Jun 2009 10:16:33","72,499","12 Aug 2016 13:23:06","Singer & Music Producer. MD & CEO of @arteffectsint - Media Production, Branding & Marketing. Contact: newmedia@hafizhamidun.com",http://www.hafizhamidun.com,63.5,17.5,3.5,85.8,,
FREDOSANTANA300,"FREDO SANTANA SSR","Chicago InTheTrap","530,339","2,043","23 Feb 2012 21:58:01","56,573","06 Aug 2016 22:33:57","Ceo of SavageSquadRecords #FrontStreet #KingOfChiraq #BigBossFredo #300 #GBE BigBossFredoBookings@Gmail.com",https://itunes.apple.com/us/album/fredo-mafia/id1127924326&app=itunes,2.5,90.9,1,85.7,,
soledadobrien,"Soledad O'Brien","New York","496,226","150,053","25 Mar 2009 17:50:59","41,947","16 Aug 2016 01:39:27","I'm the CEO of Starfish Media Group. I report for @PBS @CNN @HBO @CBS @Worthmag @webMD and others. Mom. Horse Lover. Wine Drinker. Rabid Tweeter.",,42.5,36,10.5,85.7,,
Temperrr,"FaZe Temperrr","snap: temperrrpedic","963,740",365,"04 Jun 2010 03:51:44","38,684","08 Aug 2016 15:18:40","CEO @FAZECLAN. #FaZeUp https://t.co/Mm1Dg4DANI",http://fazeclanstore.com,23,11,62,85.6,,
garyvee,"Gary Vaynerchuk",NYC,"1,307,645","9,162","04 May 2007 15:32:48","144,510","15 Aug 2016 16:07:20","Family 1st! but after that, Businessman. CEO of @vaynermedia. Co Founder of @VaynerSports. Host of #AskGaryVee show & a dude who Loves the Hustle, the @NYJets",http://ask.garyvaynerchuk.com,32.5,2,67,85.5,,
NefuDaBoss,Nefu,"IG Nefudaboss","942,026",491,"11 Jun 2009 02:27:06","31,557","07 Aug 2016 07:41:10","Recording Artist / CEO of @AdsManagerPro",http://smarturl.it/NefuMusic,23.5,19,11,85.3,,
ImAngelaPowers,"ANGELA POWERS","The Bronx ✈ South Florida","436,032","85,649","25 Jul 2010 01:48:23","28,704","11 Aug 2016 02:49:45","The CEO of Angela's Insurance. Music Blogger & Model. Follow me... https://t.co/ZE9sYNBSM0",http://imangelapowers.com,22,13,56.5,85,,
karibahut,Karibou,Lyon,"18,919",359,"20 Jul 2011 19:13:59","36,767","15 Aug 2016 21:21:31","CEO facétieux.",,7,3.5,78.5,84.8,,
JohnLegere,"John Legere","Bellevue,WA/New York City","2,869,774",196,"01 May 2013 11:13:13","19,968","15 Aug 2016 16:12:41","Magenta-wearing, customer-loving @TMobile USA CEO focused on ending wireless pain points & scaring our competitors! Also, #IamBatman",http://Instagram.com/johnlegere,46,11,28.5,84.8,,
GrantCardone,"Grant Cardone","Miami Beach","355,370","1,943","15 May 2008 17:15:29","97,975","16 Aug 2016 02:00:30","10 Most Influen CEO's NYT BestSelling #Author #Speaker #RealEstateInvestor #Husband #Father Creator https://t.co/pAQNutR3sO. I follow back! #finance #business #",http://www.instagram.com/grantcardone/,82,0.5,0,84.6,,
peterzburg,"TRANSSIB PETERSBURG","St. Petersburg Russia","9,258",94,"03 May 2011 09:26:34","531,575","15 Aug 2016 12:23:41","Russian Railways official travel information. Biz languages: English. Français. Deutsch. CEO Dr. Maxim Sholeninoff.",http://transsibirischeeisenbahn.me,32.5,67.5,0,84.3,,
khaliidvip,"م / خالد ابو ابراهيم","جدة - ( لا ارتوت للاعلانات )","583,461","55,194","16 Mar 2011 16:52:45","176,588","14 Aug 2016 12:49:05","المدير التنفيذي CEO لشركة الاستشاري السعودي @scit_sa ومالك تطبيق ذكّرني @ThakerniApp وصاحب صفحة اجمل تلاوات القران الكريم في الفيس بوك https://t.co/Ogh57Awvcx",http://www.khaliid.com,0,97,0,84.3,,
TamaraMcCleary,"Tamara McCleary","Boulder, CO","120,505","70,786","24 Jan 2014 03:50:40","58,515","14 Aug 2016 21:57:26","#CEO @ThuliumCo | #1 Brand Influencer | Global Top 50 #Social, #CMO, #AI, #DigitalTransformation & #BigData Influencer | #WomenInSTEM #Healthcare #IoT #Speaker",http://TamaraMcCleary.com,28.5,17.5,54,83.6,,
joeyBADASS,BADMON,#bEASTCOAST.,"631,895","1,027","13 Sep 2010 00:48:26",726,"09 Aug 2016 17:24:02","CEO/FOUNDER OF PRO ERA RECORDS & SPEARHEAD OF THE BEASTCOAST ARMY | DEVASTATED: http://smarturl.it/Devastated #DEVASTATED IG: @joeybadass",http://joeybadass.com/,21.7,58.6,5.6,84.1,,
ReformedBroker,"Downtown Josh Brown","New York City / Long Island","152,339","3,309","02 Mar 2009 19:19:35","104,138","12 Aug 2016 14:03:15","Chairman of the Twitter Federal Reserve Author of 'Clash of the Financial Pundits', star of CNBC's The Halftime Report, CEO of Ritholtz Wealth Management",http://thereformedbroker.com/about/,45,4,31,83.8,,
SPoonia777,"Sunil Poonia","Hisar,Haryana ,India","35,414","11,379","13 Jul 2011 16:59:05","34,637","16 Aug 2016 01:37:05","Owner/Founder/CEO @AnyShopsIndia / ISL Haryana Topper / Artist / Professional Blogger / Journalist/ Media Reporter / Backup A/c @Poonia4india",http://www.AntiqueTruth.CoM,4.5,14.5,0,83.7,,
MONTANAof300,MONTANAof300,"Chicago, IL","109,183","1,318","10 May 2014 16:52:59","35,788","11 Aug 2016 01:14:04","Rapper/SongWriter/CEO OVER 170 MILLION YOUTUBE VIEWS #FGE #300NoBD BookingFGEnt@gmail.com or 6308091284 | FIRE IN THE CHURCH (#2 album in country) on iTunes NOW",http://smarturl.it/Montanaof300-FITC,9.2,87.8,1.5,84.7,,
Borja_Pardo,"Borja Pardo",Barcelona,"25,989","2,109","24 Mar 2009 15:20:08","123,495","15 Aug 2016 22:48:50","CEO & co-founder @SpheraSports. BCN. Abogado. Periodismo. Marketing. Publicidad. RRSS. Raíces asturgalaicas. Orgulloso papá de Miranda. Tomo café en @futbolcope",https://es.linkedin.com/in/borja-pardo-mu%C3%B1iz-78493a22,15.5,74,10.5,83.1,,
Benioff,"Marc Benioff",Salesforce.com,"243,502","1,719","01 Mar 2009 04:16:24","12,384","15 Aug 2016 07:53:12",Ceo@salesforce.com,http://www.salesforce.com,13.5,61.5,22,83,,
caroreceveur,"Caroline Receveur",LONDON,"638,894",37,"06 Nov 2009 08:22:17","9,022","14 Aug 2016 12:59:11","Digital Influencer - Founder & CEO Wandertea® - http://www.wandertea.fr - IG : @carolinereceveurlucas | Snapchat : caroreclucas",http://www.carolinereceveurandco.com,16.5,40,19.5,82.6,,
hani_ezz,"Hani Ezz",Egypt,"154,885","36,999","23 Jan 2010 12:51:41","396,198","16 Aug 2016 03:51:01","Hall of Fame Advisor @FIFAcom | Head of Board, CEO @Cubicx | Sr. Brand Ambassador @Truecaller | VC, Entrepreneur | Growth Hacker N' Storyteller #أنا_المستقبل",http://haniezz.com,20.5,47.5,27,82.9,,
younusalgohar,"Younus AlGohar",England,"129,973",109,"18 Apr 2010 01:09:53","6,640","14 Aug 2016 18:35:49","Younus AlGohar: CEO @MessiahFdn, Rep. of HDE Gohar Shahi, Ambassador of Peace, Man of Valour & Advocate of interfaith harmony & global peace. RT ≠ endorsement.",http://www.younusalgohar.com,9.5,74.4,10.6,83.7,,
p_episcopo,"Pierpaolo Episcopo","IG e Snapchat: p_episcopo","31,348","1,015","25 Apr 2011 23:39:35","105,101","12 Aug 2016 11:34:39","CEO di @Apple_IT_. Ho 24 anni ma il dato è in aggiornamento. Sono una persona equilibrata: se dico una cosa intelligente rimedio subito facendo una cazzata.",https://www.facebook.com/pierpaolo.episcopo,0.5,17.5,71,82.8,,
MissNikkiiBaby,"Nikki Baby","Los Angeles, CA ✈️","207,087",123,"28 Mar 2010 06:40:50","27,619","12 Aug 2016 21:27:54","#CEO of @NudeByNikki @Slay_PerUsual USC Grad||Boss|| IG: @MissNikkiiBaby @LoveHipHopVh1 PR - brittany@distinctivepr.com Bookings - NikkiBookingsLHHH@gmail.com",http://Facebook.com/MissNikkiiBaby,9.6,51,3.5,82.7,,
tim_cook,"Tim Cook",Cupertino,"3,368,129",50,"31 Jul 2013 22:41:25",268,"07 Aug 2016 14:03:09","CEO Apple, Fan of Auburn football and Duke basketball",,60,2.5,1,82.4,,
VitoMunozUgarte,"Vito Muñoz Ugarte",Ecuador,"414,042","4,907","02 Jun 2010 13:34:22","274,406","15 Aug 2016 23:03:51","CEO OMU NETWORK/ TV TC Televisión. El Telégrafo, El Correo. Radio Huancavilca y Radio La Deportiva. Correo: vito@omunetwork.com Instagram: vitomunozugarte",http://www.vitotvo.com,10,90,0,82.1,,
JanelleMonae,"Janelle Monáe, Cindi","3 steps ahead.","699,357",229,"15 Jan 2008 11:59:23","13,051","15 Aug 2016 02:52:32","CEO of Wondaland Records, Rebelutionary, Jeneral, Artist, Writer, Android, Leader, Friend, Time Traveler, Sister, Sinner, Saint, Winner, Loser, Student, Jedi",http://vevo.ly/36YCLG,24.1,61.8,4.5,81.9,,
CarlosJRubiofm,"Carlos J Rubio","All the World","10,025","9,946","28 May 2011 16:24:09","47,206","15 Aug 2016 18:52:42","Carlos J.Rubio Locutor D radio.Admiro el talento! CEO D https://t.co/SBP0NnwMru Cuidamos el arte D Enrique Iglesias,Alejandro Sanz,LuisMiguel,Pablo Alboran y MJ",http://www.radiofanatica.com,7,67,27,82,,
TaylorTfulks20,"Taylor Fulks","Ohio~GO BUCKS","57,542","33,046","30 Sep 2012 21:54:29","717,237","16 Aug 2016 02:27:54","A wife, a mother, a healer, an ATM, a domestic CEO, passionate writer in Ohio. ✨AWARD WINNING NOVEL~ MY PRISON WITHOUT BARS✨#ASMSG #CSAWarrior #Author",http://taylorfulks.com,18,81.5,0,81.8,,
10MillionMiler,"Wright Thurston","World Wide, Alaska, Utah","133,403","71,675","31 Jul 2013 04:06:48","46,649","16 Aug 2016 03:54:51","CEO, #INSPIRATION #LEADERSHIP, Professional #SPEAKER #MENTOR IBM, #SUCCESS, Eternal #OPTIMIST, REAL ESTATE Expert, Grandfather of 11 Passion: Family & Faith",https://www.linkedin.com/in/wrightjthurston,88,5.5,1.5,81.8,,
nucfootball,"David Schuman","All Over the USA","1,605,463","247,174","12 Mar 2009 23:25:42","122,850","13 Aug 2016 08:06:18","#CEO NUC Sports. 30k+ D1 Alumni & 300+ NFL Stars.Nominate direct now at http://www.nuc.camp #NFL #Agent http://Inspired.football, Host of #sporttechguys",http://www.nucsports.com,93,7,56,81.2,,
cinacio06,"Claudio Inacio",Madrid,"31,287","13,941","10 Sep 2014 23:05:05","40,176","15 Aug 2016 21:37:02","Portugués, Graduado en Turismo #CommunityManager, interés por #GrowthHacking #SEO y Social Media Feedly:http://bit.ly/cinacio06. CEO de http://claudioinacio.com",http://claudioinacio.com/,43.5,56,0.5,78.2,,
hzirfanbey,"İrfan Çoban","california değil silivri","59,599",581,"14 Aug 2014 14:32:20",821,"13 Aug 2016 12:14:58","beni ciddiye almayın | coretx ceo founder | snapchat ; hzirfanbey",http://instagram.com/hzirfanbey,12,5,0,78.9,,
Giavanni_Ruffin,"Giavanni Ruffin",757,"76,413",184,"25 Mar 2011 15:15:31","36,659","13 Aug 2016 00:51:06","Athlete | Public Speaker | GodsWarrior | Founder of TNDO | Snapchat: @giavanni_ruffin | YouTube: TheGiavanniRuffin | Giavanniruffin@yahoo.com",http://takenodaysoff.com,31,19.5,4,81.4,,
jarekkuzniar,"Jarosław Kuźniar","Warsaw, Poland","477,385",700,"21 Apr 2009 09:14:56","34,051","14 Aug 2016 17:58:35","Dziennikarz i podróżnik | CEO w http://goforworld.com & http://goforguide.com | wykładowca SWPS | trener SocialMedia & PersonalBrand | snap: jaroslawkuzniar",http://jaroslawkuzniar.com,19,76,0,81.5,,
GxldSociety,Kye,"Ohio/ Atlanta","70,798","66,501","20 May 2010 22:07:28","141,132","10 Aug 2016 05:38:34","| Public Relations | model| host| Promoter | Inquiries: GxldSociety@gmail.com | IG: GxldSociety | CEO of GxldSociety™ | #HoodRichFilms",https://m.soundcloud.com/notdafakejones/s4s-ft-hollywood-luck,13,58,3.5,81.4,,
Anti,"dT | ANTi @ SSC2016","New York, NY","26,421",258,"22 Aug 2013 20:53:08","10,296","13 Aug 2016 17:17:25","Sponsored player for @DreamTeamGG #10 ranked Smash 4 player. #11 ranked SSBB player. Bartender. CEO 2016 WiiU Champion. SFV Nash player",http://www.dreamteam.gg,14,16,49,81.6,,
FRONZ1LLA,"LORD SLiME","Orlando, FL","192,129",885,"29 Sep 2009 19:31:08","37,317","12 Aug 2016 19:19:23","Singer of @ATTILAga | CEO of @STAYS1CK | Founder of @StaySickRecords | Social media kingpin | Most hated, Most awesomest",http://www.Fronzak.com,34,24,11,81.2,,
Bublee_gee,"M.Ishtiaq Tahir",ishtiaq2993@hotmail.com,"10,578",854,"21 Nov 2012 00:47:59","39,486","13 Aug 2016 05:33:16","Editor..Niswan News (Pakistan).... Admin #PTI_World CEO #TeamPakistan",,8.5,91.5,0,81.2,,
chichovip7,"⭐NELSON⭐ #AmS",Argentina,"37,308","34,088","22 Sep 2010 03:16:48","152,966","16 Aug 2016 02:36:20","ORGULLOSO DE MIS➡ #AmigosSinceros Founder & CEO @zepringames @beacienta ❤PINTA TU VIDA DE COLORES❤",https://youtu.be/6wXk6-umg0c,2,94.5,0,81.1,,
Dios_Padre,"Big Boss","Los Santos.","270,779",791,"04 Dec 2009 06:52:14","11,925","08 Aug 2016 19:53:07","Dios 2.0, CEO de Universo INC. Abrí mi cuenta en twitter para ignorar plegarias en tiempo real. Contacto/publicidad: dios.oficial@gmail.com (Parody)",https://goo.gl/ztJwbw,37,10,11,81,,
BartBordelon,"Bart Bordelon","Shreveport, Louisiana","244,692",574,"24 Nov 2009 18:33:42","3,442","20 Jul 2016 12:58:39","Creator/CEO of @magcontour Business Inquiries: bart@magcontour.com",,15.5,16.5,4.5,80.9,,
SyedSalehAbbas,"♥ Saleh Abbas ♥","Karachi, Pakistan","40,213",795,"05 Jan 2016 15:25:55","34,402","08 Aug 2016 16:16:11","• Fuck Whoever Tell's You No...!!! • ❤ #Cricket • #Aquarius ♒ • @AzharAli_ Fan • CEO Of #CyberWarriors • #TeamIK • #AskSaleh •",,12.5,86,1,80.8,,
KeyaMorgan,"Keya Morgan","New York City / Beverly Hills","297,764","10,048","08 Aug 2010 03:31:07","7,745","15 Aug 2016 17:57:09","Filmmaker, Entrepreneur, CEO. Making a film & book about Marilyn Monroe's murder. Co-creator with Stan Lee. Read my bio at CNN http://cnn.it/2a87w82",http://www.KeyaMorganProductions.com,29.8,19.7,16.2,80.8,,
APJAbdulKalam,"Kalam Project","Lucknow, India","1,555,187",35,"28 Feb 2011 08:54:45","1,059","05 Aug 2016 12:54:44","Dedicated to actions by citizens&institutions,along the vision of Dr.Kalam. Account manged by Kalam Centre.Write to ceo@kalamcentre.org to be showcased",,40.5,43,4,80.8,,
VedoTheSinger,"Vedo Baby™ 8/16","Mͦiͦ • ⒶⓉⓁ ✈️","86,251","28,963","07 Dec 2011 21:24:42","80,101","16 Aug 2016 01:45:11","Penjamin Franklin ✍ (My New EP https://goo.gl/14kQjP) (Bookings: VedoBooking@gmail.com) CEO: @NewWAVMusicGrp • Manager: @Ramal_Henry",https://www.youtube.com/vedothesinger,10.5,88,0,80.9,,
CyberkovCEO,"عبدالله العلي",Kuwait,"352,264",418,"30 Apr 2010 10:07:52","6,637","20 Jul 2016 12:56:08","CEO of Cyberkov | A Professional Cybersecurity Firm. الرئيس التنفيذي لشركة سايبركوف للأمن الإلكتروني | محقق وخبير بأمن المعلومات. Сиберков Генеральный Директор",https://Cyberkov.com,37.2,11.6,7.5,80.7,,
iamtbotouch,"Tbo Touch",Johannesburg,"324,455",433,"16 Apr 2012 05:48:56","12,383","10 Aug 2016 06:38:36","CEO of Touch Central FM, TouchWarwick Wines, TouchLife Style Group, Entrepreneur of the Year2015 SATY ,Member of Steyn City Club,bookings@touchlifestyles.com",http://www.touchlifestyles.com,53,10,8,80.7,,
drkent,"Kent Gustavson, PhD",Nomadic.,"86,744","27,372","01 Sep 2008 02:47:04","101,018","07 Aug 2016 14:45:35","Son of poet & pediatrician. Care about things that @m8ttr. Idealist. Ideationist. Writer. Musician. Growth hacker. ED 501c3 @coteducation. CEO @bloomingtwig.",http://drkent.co,37.5,51,11.5,80.6,,
PornoDan,"Dan Leal - Porno Dan","Porn Valley, USA","175,714",480,"22 Feb 2009 05:26:15","58,898","16 Aug 2016 02:30:38","CEO Immoral Productions, Fuck A Fan Frat House Films. Star 'The Right Hand' TV Series, 'Danland' Movie-Netflix, 2x XBIZ Winner, AVN & ΦΚΣ (Skulls) Hall of Fame",http://www.immorallive.com,46,0,52.5,80.6,,
RealTalkKim,"Real Talk Kim","Atlanta, GA","92,006",451,"29 Mar 2009 04:27:24","54,181","09 Aug 2016 20:52:56","WIFE• MOM• AUTHOR• Beautifully Broken- CEO: Conquering Hell in High Heels| PASTOR: https://t.co/tEqQgTGVLH | BOOKING INQUIRES: info@conqueringhell.com",http://REALTALKKIM.COM,35,20.5,4,80.4,,
AdvDali_Mpofu,"Dali Mpofu",,"141,948","1,058","31 Aug 2013 07:25:56","5,940","13 Aug 2016 17:14:13","Fighter | National Chairperson @EffSouthAfrica | Father | Husband | Chiefs fan | Former labourer, political detainee, acting judge & CEO",,44,48,0.5,80.4,,
TheRealNikolarn,NikolarnTV,"Belgrade, Republic of Serbia","57,884",461,"22 Aug 2015 10:49:52","1,665","09 Aug 2016 16:04:42","Nikola Aničić | CEO/Founder of @ReferralSkins. Full-time streamer. Twitch partner. Gamer. Music producer. The one and only, creator of everything holy.",http://twitch.tv/NikolarnTV,30.5,13,41,80.4,,
LA_Reid,"LA Reid",,"1,285,562",429,"14 Sep 2011 00:24:34","5,335","10 Aug 2016 06:47:36","Chairman/CEO Epic Records USA. https://t.co/GCLK9dkhhq BeEpic!",,21,50.5,17.5,80.2,,
elieabonajem,"Elie Abou Najem","Beirut - Lebanon","255,983",382,"19 Oct 2011 00:09:36","17,123","12 Aug 2016 06:49:51","Journalist, Founder & CEO of @Bitajarod, Radio Host on @jarasscoop Social Media Expert http://www.instagram.com/elieabounajem",http://www.bitajarod.com,7,28.5,0,80.1,,
SlaughterAM,"Anne-Marie Slaughter","Princeton, DC, New York","139,954","3,222","15 Feb 2011 11:33:50","27,990","14 Aug 2016 17:23:20","President & CEO, @newamerica. Former Princeton Prof & Director of Policy Planning, U.S. State Dept. Mother. Mentor. Foodie. Author. Foreign policy curator.",http://www.princeton.edu/~slaughtr/,8.5,85,5.5,80,,
BFriedmanDC,"Brandon Friedman","Washington, DC","11,365",693,"05 Jul 2008 20:26:59","22,623","11 Aug 2016 22:09:39","CEO, The McPherson Square Group | Former Dep. Assistant Secretary for Public Affairs, @HUDgov | Author of The War I Always Wanted",http://www.mcphersonsquaregroup.com/brandon-friedman,45.5,35,14.5,80,,
TheMisterFavor,"Philippe TREBAUL","Brest, France","109,250","119,281","19 Jan 2012 08:15:56","103,119","15 Aug 2016 12:47:11","#CEO of @Socialfave Ranked #34/ 50 for #SMM, Worlwide (#Influencers): #TOP10 #Twitter Accounts Management #Tool (#CMOs, #CTOs...),50 M #Users #Tech #BZH5 #Brest",http://v2.socialfave.net,19,7.5,78.5,80.4,,
jcomparel,"Jonny Comparelli","toronto & nyc","44,993",285,"31 Dec 2009 04:04:23","4,792","30 Jul 2016 01:02:20","ceo, founder @Qriket instagram:https://t.co/qHv9CTUFXI snapchat:https://t.co/ILRn98JXoy youtube:https://t.co/hPypEgMSM2 jonnyc@qriket.com",http://qriket.com,18.7,66.2,4.5,79.9,,
NoWomanIsRight,"Leroy X","The Bus Stop","33,766","7,297","02 Jun 2011 23:02:08","521,219","15 Aug 2016 16:50:15","A black man against racism cause by the lightskin community .... RealLeroyx@gmail.com Im Mutha Fucking CEO",http://www.ImoveFeddi.com,9.5,41.5,32,79.9,,
CATS_PAWS,"I Want Real Change!","United States","8,429","8,481","14 Jul 2012 01:37:20","45,758","14 Aug 2016 22:40:42","CEO of Reparative Therapy Clinic for corruption-loving RWNJs & Hillbots including free 110 & 220 volt shock treatments. Therapeutic 2x4s also work well.",http://StopClinton.com,6,73.5,14.5,80.1,,
RuggedyBaba,"KING Ruggedman",ASGARD,"359,227","7,535","31 Jul 2009 18:00:35","112,518","14 Aug 2016 17:07:35","Rapper,Actor,entertainer,UN Peace Ambassador,CEO Rugged Records,CEO TSW,tv show host n motivational speaker. Instagram n Snapchat: Ruggedybaba. +2348060226284",,46,49.5,6,79.9,,
ImperatorOfPuns,BrotherKolya,,"6,862","1,382","20 Apr 2012 20:40:09","131,082","14 Aug 2016 13:16:10","Kulturträger / former CEO of iTunes Babin knight/ SIDF(Spider internet defense force) dont own what i post",,40.5,44.5,14.5,79.9,,
PonceDeLeioun,#theWAVE,"La✈️ Tx✈️ Wv","233,019","3,978","03 Apr 2009 20:56:40","91,116","13 Aug 2016 02:37:15","#theWAVE Artist/Writer/Ceo/ WVU ⠀⠀⠀⠀Booking & Features contact-TheWaveMgmnt@gmail.com ⠀⠀⠀⠀⠀⠀⠀⠀⠀Ride the WAVE & Subscribe - https://youtu.be/3CijA48Bvxg",http://SoundCloud.com/PonceDeleioun,12,29.5,45.5,79.9,,
AmeerahAltaweeL,"أميرة الطويل","Riyadh, Saudi Arabia","1,331,514",386,"21 Sep 2011 08:09:20","3,281","27 Jul 2016 19:13:17","Special @perkinsvision Ambassador to the world @tasamysa Chairwoman @TimeEntSA Founder & CEO يجب أن تكون أنت التغيير الذي تريد أن تراه في العالم",,24.6,47.2,10.1,79.8,,
3itcom,Jla,"EuroSoyons Tech Valley","2,124","1,913","14 Nov 2011 04:00:53","31,667","14 Aug 2016 13:22:46","Founder, owner, CEO Passionné des technologies de l'information. #OpenRessources #i4Emploi #Flashtweet #NFCKiller #SwaggyConcept",,0,0,0,79.9,,
Csinaco,"СВРРФ Csinaco, Ph.D.","Conservative Universe","21,097","20,645","16 Jun 2011 02:53:39","62,567","15 Aug 2016 16:18:07","iMediAdv CEO • MBA • PTWriter • Conservative • 100% Not PC • SnarkArtist • Acerbically Pointing Out The Obvious! #PayItForward #TRUMP #1A #2A #NRA #MAGA!",http://www.archives.gov/exhibits/charters/constitution.html,9.5,89,2.5,79.8,,
